street_side_name,mean_diam,diam_range,diam_standard_dev,count
BIKE MED,3.013157894736842,0.5,0.08111071056538127,38
EVEN,11.491404540576701,305,9.12718744528188,71753
GREENWAY,16.4,25,10.573551910309043,5
MED,8.077737336973005,98.5,9.033613250621949,3297
ODD,11.6674637823297,435,9.273185602138943,71374
PARK,3.1875,27,2.25,144
